date,symbol,open,high,low,close,network,SMA_10,SMA_50,RSI,MACD,MACD_Signal,Log_Return,Volatility
2019-12-06,BTCUSDT,7389.0,7590.03,7305.0,7527.47,Bitcoin,7429.825,8273.428399999999,55.52844834939864,-285.8671848803833,-326.7942429265052,0.018566588172384903,0.03048318605239171
2019-12-07,BTCUSDT,7527.8,7619.62,7470.16,7488.21,Bitcoin,7427.794,8264.2524,53.77352041426692,-262.1235780987445,-313.8601099609531,-0.0052292123250598415,0.030435041443413642
2019-12-08,BTCUSDT,7487.31,7564.0,7374.86,7510.11,Bitcoin,7436.856,8255.494400000001,65.52685849969038,-238.78686534277404,-298.84546103731725,0.0029203291520898934,0.02957139031961749
2019-12-09,BTCUSDT,7510.11,7650.0,7273.0,7338.64,Bitcoin,7396.752,8237.8002,55.96750915693662,-231.46041671239527,-285.36845217233287,-0.023096573450634292,0.029867144945608878
2019-12-10,BTCUSDT,7338.64,7407.6,7157.1,7224.13,Bitcoin,7364.976000000001,8218.3374,51.710655428355764,-232.2172969397352,-274.73822112581337,-0.015726727832204117,0.02995954200606762
2019-12-11,BTCUSDT,7224.15,7275.5,7125.66,7210.0,Bitcoin,7346.887000000001,8202.1374,40.94845360824742,-231.29112279375113,-266.0488014594009,-0.0019578602262294424,0.0271175564672261
2019-12-12,BTCUSDT,7210.0,7295.0,7080.3,7198.08,Bitcoin,7337.267000000002,8196.766599999999,42.95720438453074,-228.88057469882096,-258.615156107285,-0.0016546275033925571,0.024918476725283155
2019-12-13,BTCUSDT,7197.76,7309.05,7190.76,7258.48,Bitcoin,7333.844,8193.688,31.662983004344156,-219.56540938571197,-250.80520676297039,0.008356116731852428,0.02495702165906279
2019-12-14,BTCUSDT,7257.37,7271.77,7012.0,7064.05,Bitcoin,7320.817000000001,8161.8686,31.74427311765514,-225.27511850637347,-245.69918911165104,-0.0271518991060132,0.022059462748554446
2019-12-15,BTCUSDT,7064.14,7200.3,7008.35,7118.59,Bitcoin,7293.776000000001,8119.640399999999,38.76909624839145,-222.83053028459653,-241.12545734624013,0.007691130685450952,0.02110666821454862
2019-12-16,BTCUSDT,7119.6,7150.0,6836.0,6891.72,Bitcoin,7230.200999999999,8066.8762,35.00752305331686,-236.47376708765387,-240.1951192945229,-0.032388981078060576,0.02224263359038946
2019-12-17,BTCUSDT,6891.44,6942.21,6560.0,6623.82,Bitcoin,7143.762,8015.2498,29.21242859895453,-265.8389951574263,-245.3238944671036,-0.039648448225997265,0.020450844738604618
2019-12-18,BTCUSDT,6623.84,7440.0,6435.0,7277.83,Bitcoin,7120.534,7972.653999999999,51.92909184149615,-233.64469811627987,-242.98805519693886,0.09416049805106408,0.030294759827339347
2019-12-19,BTCUSDT,7277.83,7380.0,7038.31,7150.3,Bitcoin,7101.7,7932.565600000001,44.309458647620325,-215.93196170949795,-237.57683649945068,-0.017678426984101332,0.028718269410720337
2019-12-20,BTCUSDT,7151.31,7220.0,7079.5,7187.83,Bitcoin,7098.07,7893.505199999999,41.49368863955118,-196.59985242544462,-229.38143968464948,0.005235004245315183,0.028307857083704778
2019-12-21,BTCUSDT,7188.01,7190.58,7105.0,7132.75,Bitcoin,7090.344999999999,7851.527999999999,41.16746677798649,-183.60700495303354,-220.2265527383263,-0.007692463798028944,0.028029969345566952
2019-12-22,BTCUSDT,7131.59,7518.54,7122.47,7501.44,Bitcoin,7120.681,7815.7664,49.81623647207939,-141.92386798800362,-204.56601578826178,0.050398147797677026,0.030191263354668117
2019-12-23,BTCUSDT,7500.71,7695.38,7265.84,7317.09,Bitcoin,7126.5419999999995,7778.214,49.54572092297703,-122.35475648562442,-188.12376392773433,-0.024882294163375403,0.030759229017275347
2019-12-24,BTCUSDT,7317.3,7436.68,7157.04,7255.77,Bitcoin,7145.714,7735.4624,50.682278863156085,-110.52009925173024,-172.60303099253352,-0.008415693543983837,0.030659186466003897
2019-12-25,BTCUSDT,7255.77,7271.77,7128.86,7204.63,Bitcoin,7154.317999999999,7693.3818,49.886021624053896,-104.06798775222069,-158.89602234447096,-0.007073139499326842,0.030060052856528224
2019-12-26,BTCUSDT,7205.01,7435.0,7157.12,7202.0,Bitcoin,7185.346,7650.640800000001,50.08353150757324,-98.03675523548645,-146.72416892267407,-0.0003651096792540607,0.029698649449660882
2019-12-27,BTCUSDT,7202.0,7275.86,7076.42,7254.74,Bitcoin,7248.438,7611.4116,49.920043099762275,-87.98702314704133,-134.9767397675475,0.0072962831137449915,0.029763626217200335
2019-12-28,BTCUSDT,7254.77,7365.01,7238.67,7316.14,Bitcoin,7252.269,7582.2598,55.71443467695503,-74.21259460883448,-122.82391073580492,0.008427818145064376,0.029832888480347205
2019-12-29,BTCUSDT,7315.36,7528.45,7288.0,7388.24,Bitcoin,7276.063,7553.8364,56.06421114654408,-56.82336889247563,-109.62380236713906,0.009806680434861516,0.02947319057579961
2019-12-30,BTCUSDT,7388.43,7408.24,7220.0,7246.0,Bitcoin,7281.88,7517.967000000001,58.282756492383086,-53.898552517636745,-98.47875239723861,-0.01943995444746896,0.029591165094993797
2019-12-31,BTCUSDT,7246.0,7320.0,7145.01,7195.23,Bitcoin,7288.128,7487.2062,64.86862031818396,-55.0428296881455,-89.79156785542,-0.007031286000974238,0.02963191411751692
2020-01-01,BTCUSDT,7195.24,7255.0,7175.15,7200.85,Bitcoin,7258.069,7454.7844,46.97676610584855,-54.863755338108604,-82.80600535195774,0.000780768137645281,0.02963020419610104
